Time[S],Range,Func1,Meas1,Func2,Meas2
    1,A:5 V     ,VOLT      ,-3.467037e-05,          ,          
    2,A:5 V     ,VOLT      ,-2.72911e-05,          ,          
    3,A:5 V     ,VOLT      ,-1.930197e-05,          ,          
    4,A:5 V     ,VOLT      ,-3.643895e-05,          ,          
    5,A:5 V     ,VOLT      ,-7.226805e-05,          ,          
    6,A:5 V     ,VOLT      ,-4.345231e-05,          ,          
    7,A:5 V     ,VOLT      ,-4.766032e-05,          ,          
    8,A:5 V     ,VOLT      ,-1.067245e-06,          ,          
    9,A:5 V     ,VOLT      ,-7.409762e-06,          ,          
   10,A:5 V     ,VOLT      ,-2.927314e-05,          ,          
   11,A:5 V     ,VOLT      ,-4.528188e-05,          ,          
